Time,PID,Event,State,Stove1,Stove2,Payment_terminal,Memory_Used,Ready_Queue,Blocked_Memory,Blocked_Payment,Blocked_Stove
0,101,ARRIVE,NEW,FREE,FREE,FREE,0,-,-,-,-
0,101,ACQUIRE_PAYMENT,PAYING,FREE,FREE,P101,0,EMPTY,EMPTY,EMPTY,EMPTY
1,101,PAYING,PAYING,FREE,FREE,P101,0,EMPTY,EMPTY,EMPTY,EMPTY
2,101,PAYMENT_DONE,PAYING,FREE,FREE,P101,0,EMPTY,EMPTY,EMPTY,EMPTY
2,101,MEMORY_ALLOC,READY,FREE,FREE,FREE,300,P101,EMPTY,EMPTY,EMPTY
2,101,SCHEDULE,RUNNING,P101,FREE,FREE,300,EMPTY,EMPTY,EMPTY,EMPTY
2,101,RUN,RUNNING,P101,FREE,FREE,300,EMPTY,EMPTY,EMPTY,EMPTY
3,102,ARRIVE,NEW,P101,FREE,FREE,300,-,-,-,-
3,102,ACQUIRE_PAYMENT,PAYING,P101,FREE,P102,300,EMPTY,EMPTY,EMPTY,EMPTY
3,101,RUN,RUNNING,P101,FREE,P102,300,EMPTY,EMPTY,EMPTY,EMPTY
4,102,PAYING,PAYING,P101,FREE,P102,300,EMPTY,EMPTY,EMPTY,EMPTY
4,101,RUN,RUNNING,P101,FREE,P102,300,EMPTY,EMPTY,EMPTY,EMPTY
5,102,PAYMENT_DONE,PAYING,P101,FREE,P102,300,EMPTY,EMPTY,EMPTY,EMPTY
5,102,MEMORY_ALLOC,READY,P101,FREE,FREE,600,P102,EMPTY,EMPTY,EMPTY
5,101,RUN,RUNNING,P101,FREE,FREE,600,P102,EMPTY,EMPTY,EMPTY
6,103,ARRIVE,NEW,P101,FREE,FREE,600,-,-,-,-
6,103,ACQUIRE_PAYMENT,PAYING,P101,FREE,P103,600,P102,EMPTY,EMPTY,EMPTY
6,101,RUN,RUNNING,P101,FREE,P103,600,P102,EMPTY,EMPTY,EMPTY
7,103,PAYING,PAYING,P101,FREE,P103,600,P102,EMPTY,EMPTY,EMPTY
7,101,RUN,RUNNING,P101,FREE,P103,600,P102,EMPTY,EMPTY,EMPTY
8,103,PAYMENT_DONE,PAYING,P101,FREE,P103,600,P102,EMPTY,EMPTY,EMPTY
8,103,MEMORY_ALLOC,READY,P101,FREE,FREE,800,P102 P103,EMPTY,EMPTY,EMPTY
8,101,RUN,RUNNING,P101,FREE,FREE,800,P102 P103,EMPTY,EMPTY,EMPTY
9,104,ARRIVE,NEW,P101,FREE,FREE,800,-,-,-,-
9,104,ACQUIRE_PAYMENT,PAYING,P101,FREE,P104,800,P102 P103,EMPTY,EMPTY,EMPTY
9,101,RUN,RUNNING,P101,FREE,P104,800,P102 P103,EMPTY,EMPTY,EMPTY
10,104,PAYING,PAYING,P101,FREE,P104,800,P102 P103,EMPTY,EMPTY,EMPTY
10,101,RUN,RUNNING,P101,FREE,P104,800,P102 P103,EMPTY,EMPTY,EMPTY
10,101,FINISH,TERMINATED,FREE,FREE,P104,500,P102 P103,EMPTY,EMPTY,EMPTY
11,104,PAYMENT_DONE,PAYING,FREE,FREE,P104,500,P102 P103,EMPTY,EMPTY,EMPTY
11,104,MEMORY_ALLOC,READY,FREE,FREE,FREE,600,P102 P103 P104,EMPTY,EMPTY,EMPTY
11,102,SCHEDULE,RUNNING,P102,FREE,FREE,600,P103 P104,EMPTY,EMPTY,EMPTY
11,102,RUN,RUNNING,P102,FREE,FREE,600,P103 P104,EMPTY,EMPTY,EMPTY
12,105,ARRIVE,NEW,P102,FREE,FREE,600,-,-,-,-
12,105,ACQUIRE_PAYMENT,PAYING,P102,FREE,P105,600,P103 P104,EMPTY,EMPTY,EMPTY
12,102,RUN,RUNNING,P102,FREE,P105,600,P103 P104,EMPTY,EMPTY,EMPTY
13,105,PAYING,PAYING,P102,FREE,P105,600,P103 P104,EMPTY,EMPTY,EMPTY
13,102,RUN,RUNNING,P102,FREE,P105,600,P103 P104,EMPTY,EMPTY,EMPTY
14,105,PAYMENT_DONE,PAYING,P102,FREE,P105,600,P103 P104,EMPTY,EMPTY,EMPTY
14,105,MEMORY_ALLOC,READY,P102,FREE,FREE,800,P103 P104 P105,EMPTY,EMPTY,EMPTY
14,102,RUN,RUNNING,P102,FREE,FREE,800,P103 P104 P105,EMPTY,EMPTY,EMPTY
15,102,RUN,RUNNING,P102,FREE,FREE,800,P103 P104 P105,EMPTY,EMPTY,EMPTY
16,102,RUN,RUNNING,P102,FREE,FREE,800,P103 P104 P105,EMPTY,EMPTY,EMPTY
16,102,FINISH,TERMINATED,FREE,FREE,FREE,500,P103 P104 P105,EMPTY,EMPTY,EMPTY
17,103,SCHEDULE,RUNNING,P103,FREE,FREE,500,P104 P105,EMPTY,EMPTY,EMPTY
17,103,RUN,RUNNING,P103,FREE,FREE,500,P104 P105,EMPTY,EMPTY,EMPTY
18,103,RUN,RUNNING,P103,FREE,FREE,500,P104 P105,EMPTY,EMPTY,EMPTY
18,103,FINISH,TERMINATED,FREE,FREE,FREE,300,P104 P105,EMPTY,EMPTY,EMPTY
19,104,SCHEDULE,RUNNING,P104,FREE,FREE,300,P105,EMPTY,EMPTY,EMPTY
19,104,RUN,RUNNING,P104,FREE,FREE,300,P105,EMPTY,EMPTY,EMPTY
20,104,RUN,RUNNING,P104,FREE,FREE,300,P105,EMPTY,EMPTY,EMPTY
21,104,RUN,RUNNING,P104,FREE,FREE,300,P105,EMPTY,EMPTY,EMPTY
21,104,FINISH,TERMINATED,FREE,FREE,FREE,200,P105,EMPTY,EMPTY,EMPTY
22,105,SCHEDULE,RUNNING,P105,FREE,FREE,200,EMPTY,EMPTY,EMPTY,EMPTY
22,105,RUN,RUNNING,P105,FREE,FREE,200,EMPTY,EMPTY,EMPTY,EMPTY
23,105,RUN,RUNNING,P105,FREE,FREE,200,EMPTY,EMPTY,EMPTY,EMPTY
24,105,RUN,RUNNING,P105,FREE,FREE,200,EMPTY,EMPTY,EMPTY,EMPTY
25,105,RUN,RUNNING,P105,FREE,FREE,200,EMPTY,EMPTY,EMPTY,EMPTY
25,105,FINISH,TERMINATED,FREE,FREE,FREE,0,EMPTY,EMPTY,EMPTY,EMPTY
